202403012,100,1,1
202407025,100,1,1
202416055,99,3,1
202405008,99,3,1
202404003,98,5,1
202417066,98,5,1
202408065,97,7,1
202419028,97,7,1
202419058,97,7,1
202409004,97,7,1
202419035,96,11,3
202419060,95,12,4
202412046,95,12,1
202420054,95,12,1
202417096,95,12,2
202413080,94,16,1
202413062,94,16,1
202406032,94,16,1
2024010100,94,16,1
202413088,94,16,1
202401049,93,21,2
202403038,92,22,2
202418026,92,22,1
202418043,92,22,1
202419092,92,22,5
202410081,91,26,1
202408053,91,26,2
202403072,91,26,3
202418090,91,26,3
202401030,91,26,3
202401016,91,26,3
202409091,90,32,2
202408033,90,32,3
202420057,88,34,2
202403071,88,34,4
202419002,87,36,6
202404007,87,36,2
202418086,87,36,4
202402039,87,36,1
202409029,87,36,3
202416089,86,41,2
202409034,86,41,4
202403097,86,41,5
202418027,86,41,5
202420018,86,41,3
202407021,85,46,2
202410017,85,46,2
202420099,85,46,4
202403070,84,49,6
202413076,83,50,4
202406098,83,50,2
202407045,82,52,3
202419031,82,52,7
202405063,82,52,2
202410069,81,55,3
202402044,81,55,2
202420001,80,57,5
202410023,80,57,4
202420024,80,57,5
202416011,78,60,3
202415073,78,60,1
202401036,77,62,5
202417050,77,62,3
202420077,77,62,7
202408083,76,65,4
202417059,76,65,4
202417075,76,65,4
202405084,76,65,3
202411064,76,65,1
202404022,75,70,3
202412041,74,71,2
202415068,74,71,2
202408006,74,71,5
202411087,73,74,2
202407020,72,75,4
202404074,72,75,4
202413067,71,77,5
202416048,71,77,4
202411093,70,79,3
202419052,70,79,8
202415040,69,81,3
202405078,68,82,4
202416005,68,82,5
202409056,68,82,5
202405079,67,85,5
202418085,67,85,6
202404013,66,87,5
202403094,66,87,7
202413047,66,87,6
202414014,65,90,1
202417051,65,90,6
202410019,64,92,5
202402010,64,92,3
202403009,64,92,8
202405082,63,95,6
202407015,63,95,5
202405095,62,97,7
202407042,61,98,6
202411037,60,99,4
202402061,60,99,4
